sergio,3,589,1,0,1
sergio,3,458,2,1,0
sergio,3,568,3,1,1
sergio,3,548,4,0,1
sergio,3,581,5,0,1
sergio,3,522,6,1,2
sergio,3,523,7,0,2
sergio,3,524,8,0,2
sergio,3,526,8,0,3
Luisa,3,125,1,1,0
Luisa,3,913,1,0,3
Luisa,3,365,1,0,0
Luisa,3,124,2,0,1
Luisa,3,169,3,1,1
Luisa,3,168,4,0,1
Luisa,3,193,5,0,2
Luisa,3,197,5,0,3
Luisa,5,95872,1,2,1
Luisa,5,95863,2,2,2
Luisa,5,95861,3,1,2
Luisa,5,95630,4,3,0
Luisa,5,95631,5,3,0
Luisa,5,95861,6,1,2
Luisa,5,95671,7,3,0
Luisa,5,95641,8,2,0
Luisa,4,1569,1,1,0
Luisa,4,1286,2,1,1
Luisa,4,1274,3,1,1
Luisa,4,1269,4,1,0
Luisa,4,1230,5,0,0
Luisa,4,1274,6,1,1
Luisa,4,1274,7,1,1
Luisa,4,1298,8,1,0
Luisa,4,1275,9,0,1
Luisa,4,1295,10,0,0
Luisa,4,1239,11,0,0
Luisa,4,1247,12,2,0
Luisa,4,1240,13,1,0
Luisa,4,1258,14,1,0
Luisa,4,1269,15,1,0
